afternoon tardes
airport aeropuerto
all todos
am soy
and y
are son
arm brazo
ask preguntar
aunt tia
bad malo
bag bolsa
bath banera
bathroom bano
beach playa
bean frijol
beans frijoles
beef carne
beer cerveza
bird pajaro
black negro negra
blue azul
booger moco
boy nino
bread pan
breakfast desayuno
brother hermano
but pero
buy comprar
car carro
cat gato gata
chair silla
change cambiar
chicken pollo
child nino nina
church iglesia
clock reloj
clothes ropa
code codigo
coffee cafe
cold frio
computer computadora
cost costo
cousin primo prima
daughter hija
dinner cena
direction direccion
directions direcciones
do hacer
does hace
dog perra perro
dollar dolar
door puerta
drink beber
eat comer
english ingles
egg huevo
eye ojo
eyes ojos
family familia
fire fuego
floor piso
food comida
foot pie
fork tenedor
four cuatro
friend amigo
fruit fruta
game juego
girl nina
good bien
goodbye adios
grandma abuela
grandpa abuelo
green verde
hand mano
hands manos
he el
head cabeza
hello hola
help ayuda
here aqui
hi hola
hospital hospital
hot caliente
hour hora
house casa
how como
husband esposo
I yo
is es
juice jugo
just solo
keep mantener
kill matar
kit equipo
kite cometa
kitchen cocina
knife cuchillo
leave abandonar
leg pierna
legs pierna
library biblioteca
like gustar
live vivir
love amor
lunch almuerzo
make hacer
man hombre
meat carne
milk leche
minute minuto
moon luna
money dinero
morning dias
mountain montana
mouth boca
music musica
name nombre
need necesitar
night noches
no no
nose nariz
number numero
one uno
open abrir
orange naranja
oranges naranjas
pay pagar
play jugar
please porfavor
police policia
potato papa
potatos papas
price precio
purse cartera
purple morado
red rojo
restaurant restaurante
rice arroz
room cuarto
run correr
she ella
shower ducha
sing catar
sistar hermana
smash aplastar
snow nieve
son hijo
soup sopa
spanish espanol
speak hablar
spit escupir
spoon cuchara
stink hedor
stinks apesta
stop para
store tienda
street calle
study estudiar
stupid estupido
suck chupar
sucks apesta
sun sol
table mesa
talk hablar
tea te
thank gracias
that esa ese
the la el
them ellas ellos
three tres
time tiempo
to a
two dos
uncle tio
understand compreder
university universidad
visit visitar
waffle gofre
wallet cartera
want quiero
water agua
we nosotras nosotros
welcome bienvenidas bienvenidos
what que
when cuando
where donde
white blanco blanca
who quien
why porque
wind viento
wine vino
wife esposa
woman mujer
work trabajar
yellow amarillo
yes si
you tu
zipper cremallera
zoo zoo
